Rank,Title,Rating,Image_URL,Episodes,Dates
32,Nanatsu no Taizai,7.64,https://cdn.myanimelist.net/r/50x70/images/anime/8/65409.jpg?s=9045a2ed86abe77a6b24f0ad7f114485,TV (24 eps),Oct 2014 - Mar 2015
33,Mirai Nikki (TV),7.40,https://cdn.myanimelist.net/r/50x70/images/anime/13/33465.jpg?s=47381246925211d3873b932cba7b2703,TV (26 eps),Oct 2011 - Apr 2012
34,Ansatsu Kyoushitsu,8.08,https://cdn.myanimelist.net/r/50x70/images/anime/5/75639.jpg?s=f30fb4e81d2e9054f27fa76ee1e84a2d,TV (22 eps),Jan 2015 - Jun 2015
35,Shingeki no Kyojin: The Final Season,8.79,https://cdn.myanimelist.net/r/50x70/images/anime/1000/110531.jpg?s=3df5ebb6800604dc04c6a6187dd7161b,TV (16 eps),Dec 2020 - Mar 2021
36,Sword Art Online II,6.71,https://cdn.myanimelist.net/r/50x70/images/anime/1223/121999.jpg?s=b2b6cd359340cb973373e084a265f5f6,TV (24 eps),Jul 2014 - Dec 2014
37,Haikyuu!!,8.44,https://cdn.myanimelist.net/r/50x70/images/anime/7/76014.jpg?s=ef5c00cb929dcd690c87f56e6d1b0c8a,TV (25 eps),Apr 2014 - Sep 2014
38,Yakusoku no Neverland,8.50,https://cdn.myanimelist.net/r/50x70/images/anime/1830/118780.jpg?s=4e8a1b5b13b15d3c9172d53e3aad887b,TV (12 eps),Jan 2019 - Mar 2019
39,Bleach,7.94,https://cdn.myanimelist.net/r/50x70/images/anime/3/40451.jpg?s=3aa217eced217b3b4223af21c30fe2ed,TV (366 eps),Oct 2004 - Mar 2012
40,Kono Subarashii Sekai ni Shukufuku wo!,8.10,https://cdn.myanimelist.net/r/50x70/images/anime/8/77831.jpg?s=ae299e926b2d7a713c7daa9ab56876a4,TV (10 eps),Jan 2016 - Mar 2016
41,Ao no Exorcist,7.49,https://cdn.myanimelist.net/r/50x70/images/anime/10/75195.jpg?s=c2bb5ebd6f79c4ae21272da8215d189f,TV (25 eps),Apr 2011 - Oct 2011
42,Kiseijuu: Sei no Kakuritsu,8.33,https://cdn.myanimelist.net/r/50x70/images/anime/3/73178.jpg?s=aeb28b4778c7bcdfcb0004cbb1a55523,TV (24 eps),Oct 2014 - Mar 2015
43,Cowboy Bebop,8.75,https://cdn.myanimelist.net/r/50x70/images/anime/4/19644.jpg?s=bb1e96eb0a0224a57aa45443eab92575,TV (26 eps),Apr 1998 - Apr 1999
44,Sen to Chihiro no Kamikakushi,8.77,https://cdn.myanimelist.net/r/50x70/images/anime/6/79597.jpg?s=1f170071bc9a54ce2ba3c0d8c7aa6927,Movie (1 eps),Jul 2001 - Jul 2001
45,Shinseiki Evangelion,8.35,https://cdn.myanimelist.net/r/50x70/images/anime/1314/108941.jpg?s=8055a0c1ad69357576fc40b690b63b03,TV (26 eps),Oct 1995 - Mar 1996
46,Code Geass: Hangyaku no Lelouch R2,8.91,https://cdn.myanimelist.net/r/50x70/images/anime/1088/135089.jpg?s=8228f599281b29c489dfc5a0a5761d0f,TV (25 eps),Apr 2008 - Sep 2008
47,Violet Evergarden,8.67,https://cdn.myanimelist.net/r/50x70/images/anime/1795/95088.jpg?s=9e24a139603a4e0ea8ea055a230b54d5,TV (13 eps),Jan 2018 - Apr 2018
48,Tokyo Ghoul √A,7.02,https://cdn.myanimelist.net/r/50x70/images/anime/1889/123307.jpg?s=5755a607099b4e12700c1b11e606a733,TV (12 eps),Jan 2015 - Mar 2015
49,Death Parade,8.15,https://cdn.myanimelist.net/r/50x70/images/anime/5/71553.jpg?s=68833377dab9077cd7847c91eec46f08,TV (12 eps),Jan 2015 - Mar 2015
50,Fairy Tail,7.57,https://cdn.myanimelist.net/r/50x70/images/anime/5/18179.jpg?s=24a281654f63558f3ef001950a9e6539,TV (175 eps),Oct 2009 - Mar 2013
